Id,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,Marks
8238   ,1,2,0,0,0,6,0,0,0,0,9
8877   ,1,2,0,4,0,0,0,0,0,0,7
9151   ,1,2,3,0,0,6,0,0,0,0,12
12792   ,0,2,0,4,5,0,0,0,0,0,11
8356   ,1,2,0,4,0,0,0,0,0,10,17
8457   ,1,0,3,4,0,6,0,0,0,0,14
9068   ,0,2,0,0,0,0,0,8,0,0,10
10026   ,1,2,3,0,0,0,0,8,9,10,33
8513   ,1,2,3,4,5,6,0,0,9,0,30
8942   ,1,2,3,4,0,0,7,0,9,10,36
8881   ,1,2,3,0,0,6,7,0,9,0,28
12539   ,1,2,3,0,5,6,7,0,9,0,33
10430   ,1,2,3,4,5,0,0,8,9,0,32
8451   ,0,2,3,0,0,6,7,8,9,0,35
8446   ,1,2,3,4,5,6,0,0,9,0,30
9061   ,1,2,3,4,0,6,7,0,9,0,32
9579   ,1,2,3,4,0,6,0,8,0,10,34
8141   ,1,2,3,0,5,6,7,8,0,0,32
8420   ,1,2,3,4,0,6,0,8,9,0,33
8537   ,1,2,3,4,0,0,7,8,0,0,25
11873   ,1,2,3,4,5,6,0,0,0,0,21
9744   ,1,2,0,0,0,0,0,0,9,10,22
8693   ,1,2,0,4,5,0,7,8,0,10,37
9907   ,1,0,3,0,5,0,7,8,0,10,34
8147   ,1,0,0,0,0,0,7,8,0,0,16
8434   ,0,0,0,4,0,0,0,8,0,0,12
11331   ,1,0,0,0,0,6,0,0,0,10,17
9123   ,1,2,3,4,5,0,0,0,0,0,15
9730   ,1,2,3,4,0,6,0,0,0,0,16
12620   ,1,0,0,0,5,0,7,0,0,0,13
8708   ,1,0,0,0,0,0,0,8,0,0,9
9069   ,1,2,3,4,0,0,0,0,0,10,20
8415   ,1,2,3,4,5,0,7,8,0,0,30
8879   ,1,2,3,4,5,6,0,8,0,0,29
9962   ,0,2,0,0,5,6,0,0,0,0,13
9395   ,1,2,3,4,5,6,7,0,9,10,47
9110   ,1,2,3,4,5,6,7,8,9,0,45
9393   ,0,0,3,0,5,0,0,0,9,0,17
9703   ,1,2,0,4,0,6,7,8,9,10,47
8229   ,1,2,3,4,5,0,0,8,9,10,42
12522   ,1,2,3,0,0,6,0,0,0,0,12
12562   ,1,0,0,0,5,0,7,0,0,0,13
12595   ,1,2,3,4,5,0,7,8,0,10,40
12797   ,0,0,3,0,5,6,0,8,0,10,32
11412   ,1,2,3,4,0,6,7,8,9,0,40
9371   ,1,2,3,4,5,6,0,0,9,0,30
11804   ,1,2,0,0,5,6,7,0,9,0,30
12896   ,0,0,3,0,5,0,7,8,0,10,33
11130   ,1,2,3,4,0,6,7,8,9,0,40
8919   ,0,0,0,4,5,0,0,8,9,10,36
9709   ,1,0,0,4,0,6,7,0,0,10,28
11410   ,0,2,3,0,0,6,7,0,9,10,37
12787   ,1,0,3,4,5,6,7,8,0,0,34
8681   ,1,2,3,4,5,0,7,8,0,0,30
9943   ,1,2,3,4,0,0,0,8,0,0,18
9960   ,1,2,0,0,0,6,0,8,9,0,26
8202   ,0,0,3,4,5,6,7,0,0,0,25
12626   ,1,2,3,4,0,6,0,0,0,10,26
8219   ,1,0,3,0,0,6,0,0,0,0,10
8883   ,0,0,3,0,5,6,0,0,9,10,33
8854   ,1,2,3,4,0,6,7,8,0,10,41
12874   ,1,2,3,4,5,0,0,0,9,10,34
9118   ,1,2,0,0,0,0,7,0,9,10,29
9575   ,1,0,0,0,0,0,7,0,0,10,18
10382   ,1,2,3,0,0,6,0,0,9,10,31
12753   ,1,2,3,4,5,6,7,0,9,0,37
10138   ,0,0,0,4,0,0,0,0,0,10,14
9456   ,1,2,0,0,5,6,0,8,9,0,31
8653   ,1,2,3,4,5,6,0,0,0,10,31
11406   ,0,2,3,4,5,0,0,8,9,0,31
9425   ,0,2,0,0,0,0,7,0,9,10,28
11450   ,1,0,0,4,0,0,0,0,0,10,15
9755   ,1,2,0,0,5,0,7,8,9,0,32
8470   ,1,2,3,4,0,0,7,8,9,0,34
9732   ,1,2,0,0,5,6,7,8,9,0,38
10001   ,1,2,3,4,0,6,7,0,0,10,33
8431   ,1,2,3,4,5,6,0,0,9,0,30
9023   ,1,0,3,4,5,0,7,8,9,0,37
10347   ,1,2,3,4,5,6,7,0,0,10,38
9552   ,1,0,3,0,5,0,7,0,9,10,35
9729   ,0,0,0,4,0,6,7,0,0,10,27
8272   ,1,2,3,0,0,6,0,8,0,10,30
9431   ,1,2,3,0,5,0,0,8,9,10,38
12512   ,1,2,3,0,5,6,7,0,9,0,33
8489   ,1,2,3,0,5,6,7,8,9,0,41
9923   ,1,0,0,0,0,0,7,8,9,10,35
9817   ,1,2,3,4,0,6,7,0,0,10,33
9936   ,1,2,3,0,5,0,7,0,9,10,37
10154   ,1,2,0,0,0,0,7,0,0,10,20
8135   ,1,0,3,0,0,0,7,0,9,10,30
8902   ,1,0,0,4,0,0,0,8,9,10,32
11084   ,1,2,3,0,5,6,7,0,0,10,34
11166   ,1,0,3,4,0,6,7,8,9,0,38
12810   ,1,2,3,4,5,6,7,0,0,0,28
9074   ,1,0,3,4,0,6,7,0,0,10,31
12800   ,1,0,0,0,5,6,7,0,0,10,29
9596   ,1,0,0,4,0,6,7,8,0,10,36
9961   ,1,2,3,0,5,6,0,0,9,10,36
10194   ,1,2,3,4,5,6,0,0,9,0,30
8678   ,1,2,3,0,5,6,7,8,0,10,42
8522   ,1,0,0,0,5,6,7,8,0,10,37
9711   ,1,0,3,4,5,6,0,0,9,10,38
8934   ,1,0,3,0,5,6,7,8,0,0,30
9904   ,1,2,3,4,5,0,7,8,9,10,49
9928   ,1,2,3,0,0,6,7,8,9,10,46
11448   ,1,2,3,0,5,0,7,0,0,0,18
8468   ,1,2,0,4,5,6,7,0,9,10,44
11341   ,1,0,3,4,0,6,7,8,9,10,48
8703   ,1,2,3,4,5,6,0,0,0,10,31
9404   ,1,2,0,4,5,0,7,0,9,0,28
8385   ,1,2,3,4,5,6,0,0,9,0,30
8887   ,1,0,3,4,5,6,0,8,9,0,36
10451   ,1,2,0,0,5,0,0,8,9,10,35
8761   ,1,2,3,4,5,0,7,0,0,10,32
10162   ,1,2,0,0,0,0,7,8,0,10,28
11163   ,1,2,0,4,5,0,7,8,9,0,36
11857   ,1,2,3,4,0,0,7,8,9,0,34
12771   ,0,0,3,0,0,6,7,0,9,10,35
9814   ,0,2,3,4,0,6,7,0,0,10,32
8333   ,1,0,3,0,5,6,7,0,9,10,41
12820   ,1,2,0,0,0,0,0,0,0,10,13
12604   ,1,2,3,4,5,0,0,8,9,10,42
11899   ,1,2,3,4,5,6,0,8,9,10,48
11436   ,1,2,0,4,0,6,0,8,9,10,40
10022   ,1,0,0,0,0,0,7,0,9,0,17
9519   ,1,0,3,0,0,6,7,0,0,0,17
11139   ,0,0,0,0,0,6,7,0,0,0,13
11082   ,0,0,3,0,0,0,0,0,0,10,13
8196   ,1,2,0,0,0,0,0,8,0,0,11
10413   ,1,2,0,0,0,6,0,8,0,0,17
8651   ,1,2,0,0,0,0,7,0,0,0,10
8661   ,0,2,0,4,5,0,0,8,0,0,19
8134   ,1,2,3,4,5,0,0,0,9,10,34
8868   ,1,2,3,4,0,6,0,8,0,10,34
9758   ,1,2,3,4,5,0,0,8,9,0,32
8347   ,0,2,0,4,0,6,7,8,9,0,36
8374   ,1,2,3,0,5,0,7,0,9,10,37
11072   ,0,2,3,0,5,6,0,8,0,10,34
12518   ,1,2,0,4,5,0,0,8,0,10,30
8922   ,1,2,3,4,0,0,7,8,0,10,35
9414   ,1,2,3,4,0,6,7,8,0,0,31
8946   ,1,2,3,4,5,0,0,8,0,10,33
9780   ,1,2,3,4,5,6,0,8,9,0,38
10153   ,1,2,3,4,5,6,7,0,0,10,38
8438   ,1,2,0,4,0,0,7,0,0,10,24
8698   ,0,0,0,0,0,0,0,8,0,10,18
8723   ,1,2,3,4,0,6,0,0,9,0,25
9359   ,1,2,3,4,0,0,7,8,9,0,34
9403   ,1,2,0,0,5,6,7,8,0,0,29
11431   ,1,2,3,0,5,0,0,0,0,0,11
12567   ,1,0,0,4,0,0,0,0,0,10,15
9776   ,0,0,0,4,0,0,7,0,0,0,11
8706   ,0,2,0,4,0,6,7,0,0,0,19
11067   ,1,2,0,0,0,0,0,8,0,0,11
10023   ,1,0,0,0,0,0,0,0,0,10,11
9381   ,0,0,0,4,0,6,0,0,9,0,19
9982   ,1,0,0,4,0,6,0,0,9,0,20
8274   ,1,2,3,0,0,6,7,0,0,10,29
8436   ,1,0,0,0,5,6,0,8,9,0,29
9029   ,1,2,0,0,5,0,0,0,9,0,17
9941   ,1,2,3,4,0,6,7,8,9,10,50
8234   ,1,2,3,0,0,6,7,8,9,10,46
8674   ,1,0,0,0,0,0,0,8,9,0,18
9548   ,1,2,3,4,5,6,7,8,9,0,45
11379   ,1,2,3,4,5,0,7,0,9,10,41
8700   ,1,2,0,0,0,0,0,0,9,0,12
10337   ,1,0,3,4,5,0,0,0,0,0,13
9385   ,1,2,3,4,5,6,7,0,9,0,37
11343   ,1,0,3,4,5,6,0,0,0,10,29
9445   ,1,2,3,4,5,6,7,8,0,0,36
11152   ,1,2,0,0,0,0,7,8,0,10,28
10354   ,1,2,0,4,5,6,0,0,9,10,37
8213   ,1,2,3,4,5,0,0,8,9,0,32
11846   ,0,0,0,0,5,6,0,8,9,0,28
12760   ,1,2,3,4,0,6,0,8,0,10,34
9084   ,1,2,3,4,0,0,0,8,9,10,37
10342   ,1,2,0,4,0,6,0,8,9,0,30
11118   ,1,2,3,4,5,6,0,0,9,10,40
11415   ,0,0,0,4,5,0,7,8,9,0,33
11827   ,1,2,0,4,0,6,0,0,0,0,13
9334   ,0,0,3,0,0,0,0,0,9,10,22
12887   ,1,0,0,0,5,6,7,0,0,0,19
12578   ,1,2,0,4,0,6,0,8,0,0,21
10202   ,1,2,3,0,5,0,0,0,0,0,11
9767   ,1,0,3,4,0,6,7,0,0,10,31
9781   ,1,2,3,4,0,0,0,8,0,10,28
8928   ,1,2,0,4,5,6,7,8,0,0,33
9631   ,1,2,3,4,0,6,7,8,0,0,31
8460   ,0,2,0,4,5,0,0,0,0,0,11
10189   ,0,0,3,0,5,6,0,0,9,10,33
12852   ,1,2,3,0,0,6,0,0,9,10,31
9370   ,1,2,0,0,0,0,7,0,0,0,10
8640   ,1,0,3,0,5,6,0,8,0,10,33
12825   ,0,0,3,4,5,0,0,0,9,10,31
9356   ,1,2,3,0,5,0,0,8,0,10,29
9702   ,1,2,3,4,5,6,0,8,9,0,38
10014   ,1,2,3,0,5,0,0,0,0,0,11
11191   ,1,2,3,4,5,0,0,0,9,10,34
10454   ,1,0,0,4,5,6,0,8,9,0,33
11383   ,1,2,3,4,5,0,7,8,9,0,39
12862   ,1,0,0,4,0,6,7,0,9,10,37
12552   ,0,2,3,4,5,6,7,8,0,0,35
12755   ,1,2,3,4,5,0,7,8,0,10,40
9595   ,0,0,0,0,0,0,7,8,9,10,34
8450   ,1,0,3,4,5,0,7,0,9,0,29
12618   ,1,2,3,4,5,6,7,0,0,10,38
9367   ,1,2,3,4,0,6,0,8,0,10,34
10427   ,1,0,3,4,5,0,7,0,9,0,29
12529   ,1,0,3,4,0,6,7,0,0,10,31
8743   ,1,2,0,4,5,6,7,8,0,0,33
11060   ,1,2,0,4,0,6,7,8,0,10,38
9997   ,1,2,3,4,5,6,7,8,0,0,36
9794   ,0,2,3,4,0,0,7,0,9,10,35
8944   ,0,2,0,0,5,0,0,8,0,0,15
10193   ,1,2,3,4,5,0,0,8,0,10,33
9115   ,1,2,3,4,5,6,0,8,0,0,29
9623   ,1,0,3,0,0,6,7,0,0,10,27
10392   ,1,2,0,0,5,0,0,8,9,10,35
12544   ,1,2,3,4,5,6,0,0,0,10,31
12559   ,1,2,3,0,0,0,7,8,9,0,30
12860   ,1,2,3,4,5,6,7,0,0,10,38
9690   ,1,2,3,4,0,0,0,8,0,10,28
12864   ,1,0,0,0,0,0,0,8,9,10,28
10340   ,1,2,0,0,5,6,7,0,9,0,30
10443   ,1,2,0,4,5,0,0,8,9,10,39
9910   ,1,2,3,4,5,0,0,8,9,10,42
12574   ,1,2,3,4,5,6,7,0,0,10,38
12556   ,1,2,0,4,5,6,0,0,9,10,37
11335   ,1,2,3,4,5,6,7,0,0,10,38
12606   ,1,2,3,4,5,6,7,8,9,0,45
9454   ,1,0,3,4,5,0,7,0,0,0,20
9773   ,1,2,3,4,5,6,7,8,9,0,45
9762   ,1,2,3,0,5,0,7,8,9,10,45
9976   ,1,2,3,4,5,0,0,8,9,0,32
8154   ,1,2,3,4,5,6,7,0,9,0,37
8263   ,1,0,3,0,0,6,0,0,9,10,29
8734   ,1,0,3,4,0,6,0,0,9,10,33
9420   ,1,0,3,4,5,6,7,8,9,0,43
9778   ,1,0,0,4,0,6,7,8,9,0,35
9351   ,1,2,3,4,5,0,0,8,9,0,32
11116   ,1,2,3,0,5,0,0,0,9,10,30
11832   ,1,2,3,4,5,0,0,0,9,10,34
12763   ,1,2,0,0,0,6,7,0,9,10,35
8541   ,1,2,3,0,5,6,0,0,9,10,36
8663   ,0,2,3,0,5,6,0,0,9,10,35
11398   ,0,2,3,0,5,0,0,0,0,0,10
10157   ,1,2,3,4,5,6,0,8,0,10,39
8724   ,1,2,0,4,5,0,0,8,9,10,39
10426   ,1,2,3,4,5,6,7,8,9,0,45
9572   ,1,0,3,0,0,6,0,0,0,0,10
12830   ,1,2,0,4,5,0,7,0,0,0,19
8837   ,1,0,3,0,0,0,0,0,0,10,14
12526   ,1,2,0,0,5,0,0,0,0,0,8
8267   ,0,0,0,0,0,6,0,0,9,0,15
8704   ,0,2,0,0,0,0,7,0,9,0,18
9518   ,1,2,3,0,0,0,0,0,9,0,15
10336   ,1,2,3,0,0,6,7,0,0,0,19
12837   ,1,2,3,4,0,0,0,8,9,10,37
11169   ,0,2,3,4,0,6,0,8,9,10,42
8188   ,1,0,0,0,0,6,7,0,9,10,33
11359   ,1,2,3,4,5,0,7,8,9,0,39
9906   ,1,2,0,4,5,6,0,8,0,10,36
11865   ,0,2,3,4,0,6,7,0,0,10,32
9963   ,1,2,0,4,5,6,0,8,9,0,35
9071   ,1,0,3,0,5,0,7,0,9,10,35
12527   ,1,2,0,4,5,0,7,8,0,10,37
9799   ,1,2,3,4,5,6,7,8,0,0,36
12849   ,1,2,3,4,0,6,0,8,0,10,34
9937   ,1,2,3,4,5,0,7,0,9,0,31
8317   ,1,2,0,0,5,0,7,0,9,0,24
11816   ,1,2,3,0,0,6,0,0,9,0,21
10375   ,1,2,0,0,0,0,7,0,9,0,19
8835   ,1,2,3,4,5,6,7,0,9,0,37
9139   ,1,2,3,4,0,0,0,8,9,10,37
11855   ,0,0,3,0,5,0,0,8,0,0,16
12590   ,1,2,0,0,0,0,0,0,9,0,12
8892   ,1,0,0,4,5,0,0,0,0,0,10
11893   ,1,0,0,4,5,6,0,0,0,0,16
11833   ,1,0,3,0,0,0,0,8,0,0,12
10345   ,0,2,0,0,0,0,0,0,0,10,12
9098   ,1,0,3,0,0,0,7,0,9,0,20
8286   ,1,2,0,0,0,0,0,8,0,0,11
11112   ,1,0,0,4,5,6,7,0,0,10,33
9903   ,1,2,3,4,0,0,0,8,0,10,28
8308   ,0,2,0,4,0,0,7,0,0,0,13
9435   ,1,2,3,4,5,6,0,8,9,10,48
11332   ,1,2,3,4,5,6,7,0,9,10,47
12548   ,0,2,3,0,0,6,7,0,0,0,18
9389   ,1,2,0,4,0,6,7,0,9,10,39
8501   ,1,2,3,4,5,6,7,0,9,10,47
9617   ,1,2,3,0,5,0,0,0,0,0,11
11135   ,1,2,0,0,5,0,7,0,0,0,15
10368   ,1,2,3,4,5,6,0,0,0,10,31
8199   ,1,0,3,0,5,6,7,0,9,0,31
8266   ,1,2,3,4,5,6,0,8,0,0,29
8950   ,1,2,3,0,5,6,0,0,9,10,36
9092   ,1,2,0,4,5,6,7,0,0,10,35
9510   ,1,2,3,4,5,6,7,0,9,0,37
9991   ,1,2,3,4,5,0,7,8,0,0,30
8456   ,1,2,0,0,5,6,7,0,0,10,31
9366   ,1,2,3,4,5,6,7,0,9,0,37
11149   ,1,2,0,0,5,0,7,8,0,10,33
8306   ,1,2,0,4,5,6,7,0,0,10,35
9506   ,1,2,3,4,5,0,7,0,9,0,31
8746   ,1,2,0,4,0,0,0,0,9,0,16
12523   ,1,2,0,4,5,0,0,8,0,0,20
12828   ,1,0,0,0,0,0,7,0,0,10,18
9728   ,1,2,0,0,5,6,0,0,0,10,24
11091   ,1,0,3,0,0,6,0,0,0,10,20
8411   ,1,2,3,4,0,6,0,8,9,0,33
9082   ,1,2,3,4,0,6,0,8,0,0,24
10373   ,1,2,3,0,5,6,7,8,0,0,32
9752   ,1,2,0,4,5,6,7,0,0,10,35
9965   ,1,2,0,4,0,6,0,0,0,0,13
11154   ,1,2,3,4,5,6,7,0,0,0,28
9584   ,1,2,0,0,5,6,7,8,0,0,29
9101   ,1,2,3,0,0,6,7,0,0,0,19
11442   ,1,2,3,0,0,0,0,8,9,10,33
12545   ,1,2,3,4,5,6,7,0,0,0,28
8652   ,1,0,3,4,5,6,7,8,0,0,34
8515   ,0,2,0,4,5,6,7,8,0,0,32
9607   ,0,0,0,4,0,0,0,0,9,0,13
10125   ,0,0,3,4,0,0,7,8,0,10,32
11392   ,1,2,3,0,5,6,0,0,0,10,27
11109   ,1,2,0,4,5,6,0,0,9,10,37
8253   ,1,2,0,4,0,6,7,8,9,0,37
8936   ,1,2,3,4,5,6,0,8,9,0,38
9566   ,1,2,3,4,0,0,7,0,9,10,36
9638   ,1,2,3,4,0,6,7,8,0,10,41
8533   ,0,0,3,4,5,6,7,0,9,0,34
10438   ,0,0,0,0,5,0,7,0,9,10,31
11058   ,1,2,3,0,5,6,0,8,0,10,35
11394   ,1,2,3,4,0,6,7,0,9,0,32
8432   ,1,2,0,4,5,6,7,0,9,0,34
9035   ,1,2,0,0,5,6,7,8,0,10,39
9760   ,1,2,3,4,5,6,7,0,0,10,38
8365   ,1,2,3,4,5,6,0,0,0,10,31
